inicio	varinicio	varfim	pt_v	id	vir	inteiro	real	literal	leia	escreva	lit	num	rcb	opm	se	ab_p	fc_p	entao	opr	fimse	repita	fimrepita	fim	$	P’	P	V	LV	D	L	TIPO	A	ES	ARG	CMD	LD	OPRD	COND	CAB	EXP_R	CP	R	CP_R
e43	e43	e43	e43	s30	e43	e43	e43	e43	s21	s24	e43	e43	e43	e43	s64	e43	e43	e43	e43	e43	e43	s51	e43	e43									47.0		49.0			52.0	55.0				46.0
e44	e44	e44	e44	e44	e44	e44	e44	e44	e44	e44	e44	e44	e44	e44	e44	e44	e44	e44	s44	e44	e44	e44	e44	e44																			
e45	e45	e45	e45	s35	e45	e45	e45	e45	e45	e45	e45	s34	e45	e45	e45	e45	e45	e45	e45	e45	e45	e45	e45	e45													45.0						
e46	e46	e46	e46	e46	e46	e46	e46	e46	e46	e46	e46	e46	e46	e46	e46	e46	r27	e46	e46	e46	e46	e46	e46	e46																			
e47	e47	e47	e47	r33	e47	e47	e47	e47	r33	r33	e47	e47	e47	e47	r33	e47	e47	e47	e47	e47	r33	e47	r33	e47																			
e48	e48	e48	e48	s30	e48	e48	e48	e48	s21	s24	e48	e48	e48	e48	s64	e48	e48	e48	e48	e48	e48	s51	e48	e48									47.0		49.0			52.0	55.0				48.0
e49	e49	e49	e49	r34	e49	e49	e49	e49	r34	r34	e49	e49	e49	e49	r34	e49	e49	e49	e49	e49	r34	e49	r34	e49																			
e50	e50	e50	e50	s30	e50	e50	e50	e50	s21	s24	e50	e50	e50	e50	s64	e50	e50	e50	e50	e50	e50	s51	e50	e50									47.0		49.0			52.0	55.0				50.0
e51	e51	e51	e51	r35	e51	e51	e51	e51	r35	r35	e51	e51	e51	e51	r35	e51	e51	e51	e51	e51	r35	e51	r35	e51																			
e52	e52	e52	e52	r37	e52	e52	e52	e52	r37	r37	e52	e52	e52	e52	r37	e52	e52	e52	e52	e52	r37	e52	r37	e52																			
e53	e53	e53	e53	s30	e53	e53	e53	e53	s21	s24	e53	e53	e53	e53	s64	e53	e53	e53	e53	e53	e53	s51	e53	e53									47.0		49.0			52.0	55.0				53.0
e54	e54	e54	e54	r36	e54	e54	e54	e54	r36	r36	e54	e54	e54	e54	r36	e54	e54	e54	e54	e54	r36	e54	r36	e54																			
e55	e55	e55	e55	s30	e55	e55	e55	e55	s21	s24	e55	e55	e55	e55	s64	e55	e55	e55	e55	e55	s39	e55	s20	e55								75.0	54.0		69.0			70.0	55.0			71.0	
e56	e56	e56	e56	s30	e56	e56	e56	e56	s21	s24	e56	e56	e56	e56	s64	e56	e56	e56	e56	s63	e56	e56	e56	e56									57.0		59.0			61.0	55.0		56.0		
e57	e57	e57	e57	r25	e57	e57	e57	e57	r25	r25	e57	e57	e57	e57	r25	e57	e57	e57	e57	r25	r25	r25	r25	e57																			
e58	e58	e58	e58	s30	e58	e58	e58	e58	s21	s24	e58	e58	e58	e58	s64	e58	e58	e58	e58	s63	e58	e58	e58	e58									57.0		59.0			61.0	55.0		58.0		
e59	e59	e59	e59	r28	e59	e59	e59	e59	r28	r28	e59	e59	e59	e59	r28	e59	e59	e59	e59	r28	r28	r28	r28	e59																			
e60	e60	e60	e60	s30	e60	e60	e60	e60	s21	s24	e60	e60	e60	e60	s64	e60	e60	e60	e60	s63	e60	e60	e60	e60									57.0		59.0			61.0	55.0		60.0		
e61	e61	e61	e61	r29	e61	e61	e61	e61	r29	r29	e61	e61	e61	e61	r29	e61	e61	e61	e61	r29	r29	r29	r29	e61																			
e62	e62	e62	e62	s30	e62	e62	e62	e62	s21	s24	e62	e62	e62	e62	s64	e62	e62	e62	e62	s63	e62	e62	e62	e62									57.0		59.0			61.0			62.0		
e63	e63	e63	e63	r30	e63	e63	e63	e63	r30	r30	e63	e63	e63	e63	r30	e63	e63	e63	e63	r30	r30	r30	r30	e63																			
e64	e64	e64	e64	r31	e64	e64	e64	e64	r31	r31	e64	e64	e64	e64	r31	e64	e64	e64	e64	r31	r31	r31	r31	e64																			
e65	e65	e65	e65	e65	e65	e65	e65	e65	e65	e65	e65	e65	e65	e65	e65	s65	e65	e65	e65	e65	e65	e65	e65	e65																			
e66	e66	e66	e66	s35	e66	e66	e66	e66	e66	e66	e66	s34	e66	e66	e66	e66	e66	e66	e66	e66	e66	e66	e66	e66													43.0			66.0			
e67	e67	e67	e67	e67	e67	e67	e67	e67	e67	e67	e67	e67	e67	e67	e67	e67	s67	e67	e67	e67	e67	e67	e67	e67																			
e68	e68	e68	e68	e68	e68	e68	e68	e68	e68	e68	e68	e68	e68	e68	e68	e68	e68	s68	e68	e68	e68	e68	e68	e68																			
e69	e69	e69	e69	r26	e69	e69	e69	e69	r26	r26	e69	e69	e69	e69	r26	e69	e69	e69	e69	r26	e69	e69	e69	e69																			
e70	e70	e70	e70	s30	e70	e70	e70	e70	s21	s24	e70	e70	e70	e70	s64	e70	e70	e70	e70	e70	s39	e70	s20	e70								74.0	54.0		69.0			70.0	55.0			71.0	
e71	e71	e71	e71	s30	e71	e71	e71	e71	s21	s24	e71	e71	e71	e71	s64	e71	e71	e71	e71	e71	s39	e71	s20	e71								73.0	54.0		69.0			70.0	55.0			71.0	
e72	e72	e72	e72	s30	e72	e72	e72	e72	s21	s24	e72	e72	e72	e72	s64	e72	e72	e72	e72	e72	s39	e72	s20	e72								72.0	54.0		69.0			70.0	55.0			71.0	
e73	e73	e73	e73	e73	e73	e73	e73	e73	e73	e73	e73	e73	e73	e73	e73	e73	e73	e73	e73	e73	e73	e73	e73	r32																			
e74	e74	e74	e74	e74	e74	e74	e74	e74	e74	e74	e74	e74	e74	e74	e74	e74	e74	e74	e74	e74	e74	e74	e74	r24																			
e75	e75	e75	e75	e75	e75	e75	e75	e75	e75	e75	e75	e75	e75	e75	e75	e75	e75	e75	e75	e75	e75	e75	e75	r18																			
e76	e76	e76	e76	e76	e76	e76	e76	e76	e76	e76	e76	e76	e76	e76	e76	e76	e76	e76	e76	e76	e76	e76	e76	r12																			
